manager_id,n_periods,decoded_state_sequence,dominant_state,aversion_periods,aversion_share,neutral_periods,neutral_share,appreciation_periods,appreciation_share,upward_transitions,downward_transitions,same_state_transitions,net_state_movement
M0018,26,N N N A N N N N N N N N N A A A A A A A A A A N N A,Neutral,12,0.46153846153846156,14,0.5384615384615384,0,0.0,2,3,20,-1
M0019,26,N N N N A A A A A A A A A A A A N N P N N A A A A A,Aversion,17,0.6538461538461539,8,0.3076923076923077,1,0.038461538461538464,2,3,20,-1
M0020,26,N N A A A N N A A A A A N A A A A A A N A A N A A A,Aversion,19,0.7307692307692307,7,0.2692307692307692,0,0.0,4,5,16,-1
M0021,26,N N N N N N N A N N N N N N N P P P P P P P P P N A,Neutral,2,0.07692307692307693,15,0.5769230769230769,9,0.34615384615384615,2,3,20,-1
M0022,26,N N N N N N N N N N N P P P P P P P P P P P P P P P,Appreciation,0,0.0,11,0.4230769230769231,15,0.5769230769230769,1,0,24,1
M0023,26,N N N N N N N N N N A N N N N N N P A P P P P P P P,Neutral,2,0.07692307692307693,16,0.6153846153846154,8,0.3076923076923077,3,2,20,1
M0024,26,N N N A A A A A A N A N N A N N A N N A A N N P N N,Neutral,11,0.4230769230769231,14,0.5384615384615384,1,0.038461538461538464,6,6,13,0
M0025,26,N N N N N A A N N N N N P P P P N A A N P P P P P P,Neutral,4,0.15384615384615385,12,0.46153846153846156,10,0.38461538461538464,4,3,18,1
M0026,26,N A N N N N N N N A A A N N A N A A A P N N N A N P,Neutral,9,0.34615384615384615,15,0.5769230769230769,2,0.07692307692307693,6,6,13,1
M0027,26,A N A N N N N A N A N N N N A A A A A N N A P P P P,Neutral,10,0.38461538461538464,12,0.46153846153846156,4,0.15384615384615385,6,5,14,2
M0028,26,N N N N N N N N N A N A N A N N N N N A A N A A A A,Neutral,9,0.34615384615384615,17,0.6538461538461539,0,0.0,4,5,16,-1
M0029,26,N N N N N N N N N N N N N N A N A A N P N N N P P P,Neutral,3,0.11538461538461539,19,0.7307692307692307,4,0.15384615384615385,4,3,18,1
M0030,26,N N N N N N N N N N N N N N N P P P P P A N A A A A,Neutral,5,0.19230769230769232,16,0.6153846153846154,5,0.19230769230769232,2,2,21,-1
M0031,26,N N A N A A A A A A A N A A A A N A P P P P P P P P,Aversion,13,0.5,5,0.19230769230769232,8,0.3076923076923077,4,4,17,1
M0032,26,N N N A A N N N N N N A A N N A N P P P P P P P P N,Neutral,5,0.19230769230769232,13,0.5,8,0.3076923076923077,4,4,17,0
M0033,26,N A A A A A N N A A N N N A A N N P P P P P P P P P,Aversion,9,0.34615384615384615,8,0.3076923076923077,9,0.34615384615384615,4,3,18,1
M0034,26,N N N N N N N N N N N N N N N N N N N N N A A A A A,Neutral,5,0.19230769230769232,21,0.8076923076923077,0,0.0,0,1,24,-1
M0035,26,N N N N N N N N N A N N N N N A N A A A A A A A A A,Neutral,11,0.4230769230769231,15,0.5769230769230769,0,0.0,2,3,20,-1
M0036,26,N A A N N N N N A N N N A N N N N A A A A A A N A A,Neutral,12,0.46153846153846156,14,0.5384615384615384,0,0.0,4,5,16,-1
M0037,26,N A N A N A A N A N N N P P P P P P P P P P P P P P,Appreciation,5,0.19230769230769232,7,0.2692307692307692,14,0.5384615384615384,5,4,16,1
M0038,26,N N N N N A A A A N N N N N P P P P P P P P N N N A,Neutral,5,0.19230769230769232,13,0.5,8,0.3076923076923077,2,3,20,-1
M0039,26,N N N N N N N N N A N N N N N A A N P N N A N A A A,Neutral,7,0.2692307692307692,18,0.6923076923076923,1,0.038461538461538464,4,5,16,-1
M0040,26,N N N N N N N N N N N N N A A A N A N N N N N N N P,Neutral,4,0.15384615384615385,21,0.8076923076923077,1,0.038461538461538464,3,2,20,1
M0041,26,N N A A N N N N A N A A A A N N N N N N N P P N A N,Neutral,8,0.3076923076923077,16,0.6153846153846154,2,0.07692307692307693,5,5,15,0
M0042,26,N N A A A A A A A A A A A A A A N P P P P P P P P P,Aversion,14,0.5384615384615384,3,0.11538461538461539,9,0.34615384615384615,2,1,22,1
M0043,26,N N N N N A A A A A N A A N N P P P N P P P P P P P,Appreciation,7,0.2692307692307692,9,0.34615384615384615,10,0.38461538461538464,4,3,18,1
M0044,26,N N N N N N A A N N N N N N A N A P P N A A A A N A,Neutral,9,0.34615384615384615,15,0.5769230769230769,2,0.07692307692307693,4,6,15,-1
M0045,26,N N N N A A N N N N N P P N N N N N P N P P P P P P,Neutral,2,0.07692307692307693,15,0.5769230769230769,9,0.34615384615384615,4,3,18,1
M0046,26,N N N N N N N N A N N N N P P P P P P P P P P P P P,Appreciation,1,0.038461538461538464,12,0.46153846153846156,13,0.5,2,1,22,1
M0047,26,N N N A A A A N A A N A N A N A N N A A N N A A A A,Aversion,15,0.5769230769230769,11,0.4230769230769231,0,0.0,6,7,12,-1
M0048,26,N N N N N N N A A N A A N A A A N N A A N A A A A A,Aversion,14,0.5384615384615384,12,0.46153846153846156,0,0.0,4,5,16,-1
M0049,26,N A N A N A A N N N N P P P P P P P N N N A A A N N,Neutral,7,0.2692307692307692,12,0.46153846153846156,7,0.2692307692307692,5,5,15,0
M0050,26,N A A N N N N N A A A N N A A A N A N N P P P P P P,Neutral,9,0.34615384615384615,11,0.4230769230769231,6,0.23076923076923078,5,4,16,1
M0051,26,N N N A A A A N N A A P N A A N N P P P P P P P P P,Appreciation,8,0.3076923076923077,8,0.3076923076923077,10,0.38461538461538464,4,4,17,1
M0052,26,N N N N A A A A A A A N N N N N N N P P P N N P P P,Neutral,7,0.2692307692307692,13,0.5,6,0.23076923076923078,3,2,20,1
M0053,26,N A A N A N N N N N A A A A A A N N P P P P P P P N,Neutral,9,0.34615384615384615,10,0.38461538461538464,7,0.2692307692307692,4,4,17,0
M0054,26,N N N N N A A N A A A A N A A A N A N N N A A N P P,Neutral,12,0.46153846153846156,12,0.46153846153846156,2,0.07692307692307693,6,5,14,1
M0055,26,N N N N N N N N A N N N P P P P N A N A N A A A A A,Neutral,8,0.3076923076923077,14,0.5384615384615384,4,0.15384615384615385,4,5,16,-1
M0056,26,N N A N N N N N N N N N N A A N N A N P P P P P P P,Neutral,4,0.15384615384615385,15,0.5769230769230769,7,0.2692307692307692,4,3,18,1
M0057,26,N N N A N N A N N A A A A A A N N A A N A A A N A N,Aversion,14,0.5384615384615384,12,0.46153846153846156,0,0.0,6,6,13,0
M0058,26,N N A N A A A A A A A A N A A A A A A A A A A A A A,Aversion,22,0.8461538461538461,4,0.15384615384615385,0,0.0,2,3,20,-1
M0059,26,N N N A A A A A A N N N N A N N N A A A A A A A A A,Aversion,16,0.6153846153846154,10,0.38461538461538464,0,0.0,2,3,20,-1
M0060,26,N N N N N N N N N N A A N N N N N N P P N P P P P P,Neutral,2,0.07692307692307693,17,0.6538461538461539,7,0.2692307692307692,3,2,20,1
M0061,26,N N A N A A A A N A A A A A A A A N N A A N P N N N,Aversion,15,0.5769230769230769,10,0.38461538461538464,1,0.038461538461538464,5,5,15,0
M0062,26,N N N N N A N N N N N P P N N N N P P P P P P P P P,Neutral,1,0.038461538461538464,14,0.5384615384615384,11,0.4230769230769231,3,2,20,1
M0063,26,N N N N N N N N N N A A N N N N N P P N N N A N N A,Neutral,4,0.15384615384615385,20,0.7692307692307693,2,0.07692307692307693,3,4,18,-1
M0064,26,N N N N N N N N N N N N N N N P P P N P N N N A A N,Neutral,2,0.07692307692307693,20,0.7692307692307693,4,0.15384615384615385,3,3,19,0
M0065,26,N N N N N N A N N A N N N N N N N N P P P P N N N N,Neutral,2,0.07692307692307693,20,0.7692307692307693,4,0.15384615384615385,3,3,19,0
M0066,26,N N A N N N A N N A N N N P P P P P P P P P P P P P,Appreciation,3,0.11538461538461539,10,0.38461538461538464,13,0.5,4,3,18,1
M0067,26,N A N N A N A A A A A A N A A A N P P P P P N N N N,Aversion,11,0.4230769230769231,10,0.38461538461538464,5,0.19230769230769232,5,5,15,0
M0068,26,N A A N A N N A A A N A A N A A N N N A N A N A N N,Neutral,13,0.5,13,0.5,0,0.0,8,8,9,0
M0069,26,N N A A A A A N N N N N N N N N A A A A A A N A A A,Aversion,14,0.5384615384615384,12,0.46153846153846156,0,0.0,2,3,20,-1
M0070,26,N A N N N A A A A A A A A N A A A A A A A A A A P P,Aversion,19,0.7307692307692307,5,0.19230769230769232,2,0.07692307692307693,3,3,19,1
M0071,26,N N A A A N N N N N A N N N P P P P P P P P P P P P,Appreciation,4,0.15384615384615385,10,0.38461538461538464,12,0.46153846153846156,3,2,20,1
M0072,26,N A N N N N N N N N N N N N A A A A A A A A P P P P,Neutral,9,0.34615384615384615,13,0.5,4,0.15384615384615385,2,2,21,1
M0073,26,N N N N N A A A N A A A N N N A A N A A N N N P P N,Neutral,10,0.38461538461538464,14,0.5384615384615384,2,0.07692307692307693,5,5,15,0
M0074,26,A N N N N A A N A N A A N A A A A A A A A A A A A A,Aversion,19,0.7307692307692307,7,0.2692307692307692,0,0.0,4,4,17,0
M0075,26,A A A A A A A N N N A A A P P N N N A N A A A A A A,Aversion,17,0.6538461538461539,7,0.2692307692307692,2,0.07692307692307693,3,4,18,0
M0076,26,N N A N A A N A A A N A A A A A N A A A A A A N N A,Aversion,18,0.6923076923076923,8,0.3076923076923077,0,0.0,5,6,14,-1
M0077,26,N N N N N A A A A A A A N A N A A A N N A A A A A A,Aversion,17,0.6538461538461539,9,0.34615384615384615,0,0.0,3,4,18,-1
M0078,26,N N N N A A A A A A A A N A A A A A A A A A A A A P,Aversion,20,0.7692307692307693,5,0.19230769230769232,1,0.038461538461538464,2,2,21,1
M0079,26,N N N N N N N N N N N N N N P N P P P P P P P P N A,Neutral,1,0.038461538461538464,16,0.6153846153846154,9,0.34615384615384615,2,3,20,-1
M0080,26,N A A N A N N A A A A A A A N A N N A A A A N A N A,Aversion,17,0.6538461538461539,9,0.34615384615384615,0,0.0,6,7,12,-1
M0081,26,N N N N A N A A N N N P P P P P P N N N A A A N P P,Neutral,6,0.23076923076923078,12,0.46153846153846156,8,0.3076923076923077,5,4,16,1
M0082,26,N N N N N A A A A A A A A N A A A N A A N N A A A A,Aversion,17,0.6538461538461539,9,0.34615384615384615,0,0.0,3,4,18,-1
M0083,26,N N N A N N A A A N A A N N N N A A A A A A A A A N,Aversion,15,0.5769230769230769,11,0.4230769230769231,0,0.0,4,4,17,0
M0084,26,N N N N N N N N N A A A N A A A A N A A P P N N A A,Neutral,11,0.4230769230769231,13,0.5,2,0.07692307692307693,3,5,17,-1
M0085,26,N A N N N N N N N N N N N N P P P P P P P P P P P P,Neutral,1,0.038461538461538464,13,0.5,12,0.46153846153846156,2,1,22,1
M0086,26,N N N N N N N N N N N N N N P P P P P N P P P P P N,Neutral,0,0.0,16,0.6153846153846154,10,0.38461538461538464,2,2,21,0
M0087,26,N N N N N A A N N A A A N N A A A A A P P P P P P P,Aversion,10,0.38461538461538464,9,0.34615384615384615,7,0.2692307692307692,3,3,19,1
M0088,26,N N N N A A A A N N N A N A A A A N N N N A A N A P,Neutral,12,0.46153846153846156,13,0.5,1,0.038461538461538464,5,5,15,1
M0089,26,N N N N N N A A A N A A A N N A N N N A N A N A A P,Neutral,11,0.4230769230769231,14,0.5384615384615384,1,0.038461538461538464,6,6,13,1
M0090,26,N A A N A A A N N N N N P P P N N N P P N N A A A A,Neutral,9,0.34615384615384615,12,0.46153846153846156,5,0.19230769230769232,4,5,16,-1
M0091,26,N N N A N N N N N N N A N N N N N P P P P P P N N N,Neutral,2,0.07692307692307693,18,0.6923076923076923,6,0.23076923076923078,3,3,19,0
M0092,26,N N N N N N N N N P N N N P P P P P P P P P P P P P,Appreciation,0,0.0,12,0.46153846153846156,14,0.5384615384615384,2,1,22,1
M0093,26,N N N N N N N N N N N N N P P P P P P P P N N N A N,Neutral,1,0.038461538461538464,17,0.6538461538461539,8,0.3076923076923077,2,2,21,0
M0094,26,N N N N N A A A A N A A N A A A A A N N A N A A A N,Aversion,15,0.5769230769230769,11,0.4230769230769231,0,0.0,5,5,15,0
M0095,26,N N N N A A A N N N N N N N P P P P P N N N P P P P,Neutral,3,0.11538461538461539,14,0.5384615384615384,9,0.34615384615384615,3,2,20,1
M0096,26,N N N N N N N N N N N N P P P P P P P P P P P N P P,Neutral,0,0.0,13,0.5,13,0.5,2,1,22,1
M0097,26,N N N N N N N N N N N N N N N N A N N A A A A N N P,Neutral,5,0.19230769230769232,20,0.7692307692307693,1,0.038461538461538464,3,2,20,1
M0098,26,N N N N N A N A N A A A A A A N N N N A A A A N P P,Neutral,12,0.46153846153846156,12,0.46153846153846156,2,0.07692307692307693,5,4,16,1
M0099,26,N N N N N N N N N N N N N N N N P P P P P P P P P P,Neutral,0,0.0,16,0.6153846153846154,10,0.38461538461538464,1,0,24,1
M0100,26,N N N N N N N A A N A A A A N A N N N N A A A N A A,Neutral,12,0.46153846153846156,14,0.5384615384615384,0,0.0,4,5,16,-1
M0101,26,N N N N N N N N N N N N P N P P P P P P P P P P P P,Neutral,0,0.0,13,0.5,13,0.5,2,1,22,1
M0102,26,N N N N N A A A A N N A A A A A A N A A A A A N A N,Aversion,16,0.6153846153846154,10,0.38461538461538464,0,0.0,4,4,17,0
M0103,26,N N N N A N N N A A A N A A A N N A A N A A A N N P,Neutral,12,0.46153846153846156,13,0.5,1,0.038461538461538464,6,5,14,1
M0104,26,A N N N N A A A N N N N A A A A A A A A N A A A N N,Aversion,15,0.5769230769230769,11,0.4230769230769231,0,0.0,4,3,18,1
M0105,26,N N N N N A N N N N N N N P P P P P P P P P P P P P,Appreciation,1,0.038461538461538464,12,0.46153846153846156,13,0.5,2,1,22,1
M0106,26,N A A A A A A A A A A A N N A A A N N P P P P P P P,Aversion,14,0.5384615384615384,5,0.19230769230769232,7,0.2692307692307692,3,2,20,1
M0107,26,N A N N A N N N A N N N A A A A A A N A A A A A A A,Aversion,16,0.6153846153846154,10,0.38461538461538464,0,0.0,4,5,16,-1
M0108,26,N N N N A N A A A A A A A N N N P P P P P P P P P P,Appreciation,8,0.3076923076923077,8,0.3076923076923077,10,0.38461538461538464,3,2,20,1
M0109,26,N N N A N A A A A A A A A N N N N A A N P P P P P N,Aversion,11,0.4230769230769231,10,0.38461538461538464,5,0.19230769230769232,4,4,17,0
M0110,26,N A A A A A A A N N N A A A A A A A A A A N P P P P,Aversion,17,0.6538461538461539,5,0.19230769230769232,4,0.15384615384615385,3,2,20,1
M0111,26,N N A N N N A N N N N N N N N P P P P P P P N A A A,Neutral,5,0.19230769230769232,14,0.5384615384615384,7,0.2692307692307692,3,4,18,-1
M0112,26,N N N A N N N N N N N A A N N N A A A A A A A N A N,Neutral,11,0.4230769230769231,15,0.5769230769230769,0,0.0,4,4,17,0
M0113,26,N N N N N A A A N N N N N P P P P P P P P P P P P P,Appreciation,3,0.11538461538461539,10,0.38461538461538464,13,0.5,2,1,22,1
M0114,26,N N N N A A A A A A A A A A A A N A N P P P P P N A,Aversion,14,0.5384615384615384,7,0.2692307692307692,5,0.19230769230769232,3,4,18,-1
M0115,26,N A N N A A A N N N A A A A N A A N A A N N A N N A,Aversion,14,0.5384615384615384,12,0.46153846153846156,0,0.0,6,7,12,-1
M0116,26,N N A N N N N N N N P P N A A A A A A A A A A A A N,Aversion,13,0.5,11,0.4230769230769231,2,0.07692307692307693,3,3,19,0
M0117,26,N N N N N N N N N N N N P P P P P P P P P P P P N N,Neutral,0,0.0,14,0.5384615384615384,12,0.46153846153846156,1,1,23,0
M0118,26,N N A N A N N N N A A N A N N N N A A N A A A A A A,Neutral,13,0.5,13,0.5,0,0.0,5,6,14,-1
M0119,26,N N N N N N N N N P N N A A A N N A N N N A A A A A,Neutral,9,0.34615384615384615,16,0.6153846153846154,1,0.038461538461538464,3,4,18,-1
M0120,26,N N A A N N N N N N N N N N N N N N N N A A A N P N,Neutral,5,0.19230769230769232,20,0.7692307692307693,1,0.038461538461538464,3,3,19,0
M0121,26,N A A N N A A N A A A N N N P P N N N N A N A A A A,Neutral,12,0.46153846153846156,12,0.46153846153846156,2,0.07692307692307693,5,6,14,-1
M0122,26,N N N A A N N N A A N N N N N N P P P P P P P P P P,Neutral,4,0.15384615384615385,12,0.46153846153846156,10,0.38461538461538464,3,2,20,1
M0123,26,N A N N N N N N N N N N N N N N P P P P P P P P P P,Neutral,1,0.038461538461538464,15,0.5769230769230769,10,0.38461538461538464,2,1,22,1
M0124,26,N A N A N N A A N N A A N N P P P P P P P P P P P P,Appreciation,6,0.23076923076923078,8,0.3076923076923077,12,0.46153846153846156,5,4,16,1
M0125,26,N N N N N N N N N N A N N N A P P P N N A A A A A N,Neutral,7,0.2692307692307692,16,0.6153846153846154,3,0.11538461538461539,3,4,18,0
M0126,26,N A N N N N N N A N N N N N N N A A A A A N P P P P,Neutral,7,0.2692307692307692,15,0.5769230769230769,4,0.15384615384615385,4,3,18,1
M0127,26,N A A N N N N N N N N N A A N A A A A A A A A A A N,Aversion,14,0.5384615384615384,12,0.46153846153846156,0,0.0,3,3,19,0
M0128,26,N N N N N N N N P N N N N N P N N N A A N A A A A A,Neutral,7,0.2692307692307692,17,0.6538461538461539,2,0.07692307692307693,3,4,18,-1
M0129,26,N N N N N A A N A N A A N A N A A A N N N N N N A A,Neutral,11,0.4230769230769231,15,0.5769230769230769,0,0.0,5,6,14,-1
M0130,26,N N N A N A N A N N N N A N A N N A A A A A A A P P,Neutral,12,0.46153846153846156,12,0.46153846153846156,2,0.07692307692307693,6,6,13,1
M0131,26,N A N N N N N N N N N N N P P N N P P P P P P P P P,Neutral,1,0.038461538461538464,14,0.5384615384615384,11,0.4230769230769231,3,2,20,1
M0132,26,N N N A N N N A N A N N A N A A N A N A A N N A A A,Neutral,12,0.46153846153846156,14,0.5384615384615384,0,0.0,7,8,10,-1
M0133,26,N N N N N N N N N N N A N N N N P P P P P N N P P N,Neutral,1,0.038461538461538464,18,0.6923076923076923,7,0.2692307692307692,3,3,19,0
M0134,26,N N N N N N N N N N N N N N N A N N A A A N N A A A,Neutral,7,0.2692307692307692,19,0.7307692307692307,0,0.0,2,3,20,-1
M0135,26,N N N A A N N A N N N N N P P P P P P N A A A A N N,Neutral,7,0.2692307692307692,13,0.5,6,0.23076923076923078,4,4,17,0
M0136,26,N A A N N N N N N N N N N P P P N N N N N N N A N A,Neutral,4,0.15384615384615385,19,0.7307692307692307,3,0.11538461538461539,3,4,18,-1
M0137,26,N N N N A A N A A N N N N N P N N N N N A A A A A N,Neutral,9,0.34615384615384615,16,0.6153846153846154,1,0.038461538461538464,4,4,17,0
M0138,26,N N N N N N N N N N N N N N N A A A A N N N N A A A,Neutral,7,0.2692307692307692,19,0.7307692307692307,0,0.0,1,2,22,-1
M0139,26,N A A A N A A A A A N A A A A N N N A A N A N A A P,Aversion,17,0.6538461538461539,8,0.3076923076923077,1,0.038461538461538464,6,6,13,1
M0140,26,N N N N N N N N A A A A A N A A A A A N A A A A A A,Aversion,16,0.6153846153846154,10,0.38461538461538464,0,0.0,2,3,20,-1
M0141,26,N N N N N N N N A N A A A N A P P N N N N P P P P P,Neutral,5,0.19230769230769232,14,0.5384615384615384,7,0.2692307692307692,4,4,17,1
M0142,26,N N N N N N N N N N N N P P P P P P P P P P P P P P,Appreciation,0,0.0,12,0.46153846153846156,14,0.5384615384615384,1,0,24,1
M0143,26,N A A A A A A N N N N A N N N P P P P P P P P P P P,Appreciation,7,0.2692307692307692,8,0.3076923076923077,11,0.4230769230769231,3,2,20,1
M0144,26,N N N N N N N N N P P P P N N N N N N A A A N A A A,Neutral,6,0.23076923076923078,16,0.6153846153846154,4,0.15384615384615385,2,3,20,-1
M0145,26,N N N A A N A A A N N P P N N N A N A A N A A A A A,Aversion,13,0.5,11,0.4230769230769231,2,0.07692307692307693,5,6,14,-1
M0146,26,N N N N N N N A N A A N A A A P P P P P P P P P P P,Appreciation,6,0.23076923076923078,9,0.34615384615384615,11,0.4230769230769231,3,3,19,1
M0147,26,N A N N N N N A A A A A A N N P P P P P P P N N N A,Neutral,8,0.3076923076923077,11,0.4230769230769231,7,0.2692307692307692,3,4,18,-1
M0148,26,N A A A A A N N N N N N N N P P P P N N A A A A A A,Neutral,11,0.4230769230769231,11,0.4230769230769231,4,0.15384615384615385,2,3,20,-1
M0149,26,N N N N N N N N N N N A A A A A N A A A N N P P P P,Neutral,8,0.3076923076923077,14,0.5384615384615384,4,0.15384615384615385,3,2,20,1
M0150,26,N N A A A A A A A A A A A A A N A A A A A A A A A A,Aversion,23,0.8846153846153846,3,0.11538461538461539,0,0.0,1,2,22,-1
M0151,26,N N N N N N N N N N N N N N P P P P P P P P P P P P,Neutral,0,0.0,14,0.5384615384615384,12,0.46153846153846156,1,0,24,1
M0152,26,N N N N A N A N N N N N N P P P P P P P N A N N N P,Neutral,3,0.11538461538461539,15,0.5769230769230769,8,0.3076923076923077,5,4,16,1
M0153,26,N N N N N N N A A A A N A A N P P P P P P P P P P P,Appreciation,6,0.23076923076923078,9,0.34615384615384615,11,0.4230769230769231,3,2,20,1
M0154,26,N N N N N N N N N N N N N N P P P P P P P P P P P P,Neutral,0,0.0,14,0.5384615384615384,12,0.46153846153846156,1,0,24,1
M0155,26,N N N N N A A A A A A A A A N N N P P N P P P N A N,Neutral,10,0.38461538461538464,11,0.4230769230769231,5,0.19230769230769232,4,4,17,0
M0156,26,N A A A A N N A A A N N N N N P P P P P P P P P P N,Appreciation,7,0.2692307692307692,9,0.34615384615384615,10,0.38461538461538464,3,3,19,0
M0157,26,N N A N A N N A A N N N N P P P P P P P P P P P P P,Appreciation,4,0.15384615384615385,9,0.34615384615384615,13,0.5,4,3,18,1
M0158,26,N N N N N N N N N N N N N N N A A A A A A A A A A A,Neutral,11,0.4230769230769231,15,0.5769230769230769,0,0.0,0,1,24,-1
M0159,26,N N N N N A N A A A A A A A A N A A A N N N P P P P,Aversion,12,0.46153846153846156,10,0.38461538461538464,4,0.15384615384615385,4,3,18,1
M0160,26,N A N A A A A N N N N N N N N P P P P P P N N N N A,Neutral,6,0.23076923076923078,14,0.5384615384615384,6,0.23076923076923078,3,4,18,-1
M0161,26,N N N N N A A A A A A A A A A N N N N N N N A P P P,Neutral,11,0.4230769230769231,12,0.46153846153846156,3,0.11538461538461539,2,2,21,1
M0162,26,N N N N N N N N N N N N N N N N N P P N A A A A A A,Neutral,6,0.23076923076923078,18,0.6923076923076923,2,0.07692307692307693,1,2,22,-1
M0163,26,N N N N N N N N N A A A A A A N N A A A A A A A A A,Aversion,15,0.5769230769230769,11,0.4230769230769231,0,0.0,1,2,22,-1
M0164,26,N N N N N N N N N N N N A N N N N A A A A A N P P P,Neutral,6,0.23076923076923078,17,0.6538461538461539,3,0.11538461538461539,3,2,20,1
M0165,26,N N A A A N A N N N N N N N P P P P P P P P P P N A,Neutral,5,0.19230769230769232,11,0.4230769230769231,10,0.38461538461538464,3,4,18,-1
M0166,26,N A N N N N N A N N N N N N N A A N A A A A A A P P,Neutral,10,0.38461538461538464,14,0.5384615384615384,2,0.07692307692307693,4,4,17,1
M0167,26,N N N N N N A A A A N A A N P P P P P P P P P N N N,Neutral,6,0.23076923076923078,11,0.4230769230769231,9,0.34615384615384615,3,3,19,0
M0168,26,N N N A A A A A A A A A N A N N P P P N N A A A A A,Aversion,15,0.5769230769230769,8,0.3076923076923077,3,0.11538461538461539,3,4,18,-1
M0169,26,N N N N A N N N A A A N N N N P P P P P P P P N A A,Neutral,6,0.23076923076923078,12,0.46153846153846156,8,0.3076923076923077,3,4,18,-1
M0170,26,N A N N A N N N N N N N A A A A N N P P P P P N N A,Neutral,7,0.2692307692307692,14,0.5384615384615384,5,0.19230769230769232,4,5,16,-1
M0171,26,N A N N N N N N N N A A A A N N N N P P P P P P P P,Neutral,5,0.19230769230769232,13,0.5,8,0.3076923076923077,3,2,20,1
M0172,26,N N A N N N N A A N N N N N N N N N N P P N A A A A,Neutral,7,0.2692307692307692,17,0.6538461538461539,2,0.07692307692307693,3,4,18,-1
M0173,26,N A A A N N N N N N A A A A A A N N N A A A A N N A,Aversion,14,0.5384615384615384,12,0.46153846153846156,0,0.0,3,4,18,-1
M0174,26,N A N A A A A N A A N A N A N P P P P P P P P P P P,Appreciation,9,0.34615384615384615,6,0.23076923076923078,11,0.4230769230769231,6,5,14,1
M0175,26,N A N A A N A N N N N N N A P N N N N N A A A A N A,Neutral,10,0.38461538461538464,15,0.5769230769230769,1,0.038461538461538464,5,7,13,-1
M0176,26,N N N N N N N N N A N N N N N N N N A N A A P P P P,Neutral,4,0.15384615384615385,18,0.6923076923076923,4,0.15384615384615385,3,3,19,1
M0177,26,N N N N N N N N N N N N N N N A A A A P P P P P P P,Neutral,4,0.15384615384615385,15,0.5769230769230769,7,0.2692307692307692,1,1,23,1
M0178,26,N N A A A A A A N A A A N N A A A A A A A A A A N N,Aversion,19,0.7307692307692307,7,0.2692307692307692,0,0.0,3,3,19,0
M0179,26,N N N N N A A A A A N N A A A A N N A A A A A A A A,Aversion,17,0.6538461538461539,9,0.34615384615384615,0,0.0,2,3,20,-1
