section,variable,parameter,state,from_state,to_state,emission,covariate,estimate,standard_error,z_stat,p_value,significance,significant_10pct,significant_5pct,significant_1pct,test_available,significance_source
Emission control effect,AI Authority Share | Forecast Accuracy,"W[state=2, emission=ai_authority_share, control=forecast_accuracy]",Aversion,,,ai_authority_share,forecast_accuracy,0.0013692855084410755,0.00018890948554458435,7.24836820392437,1e-12,***,True,True,True,True,posterior-weighted Gaussian emission regression Wald test
Emission control effect,AI Authority Share | Forecast Accuracy,"W[state=1, emission=ai_authority_share, control=forecast_accuracy]",Neutral,,,ai_authority_share,forecast_accuracy,4.756180128569154e-06,0.0007236822682972801,0.006572193816161558,0.9947561857734919,,False,False,False,True,posterior-weighted Gaussian emission regression Wald test
Emission control effect,AI Authority Share | Forecast Accuracy,"W[state=3, emission=ai_authority_share, control=forecast_accuracy]",Appreciation,,,ai_authority_share,forecast_accuracy,0.023201523637797213,0.0010902721530220653,21.280488154710902,1e-12,***,True,True,True,True,posterior-weighted Gaussian emission regression Wald test
Emission control effect,AI Authority Share | Performance Pressure,"W[state=2, emission=ai_authority_share, control=performance_pressure]",Aversion,,,ai_authority_share,performance_pressure,-0.0014932653297500915,0.0002894264694809156,-5.159394482571869,2.4774980511566014e-07,***,True,True,True,True,posterior-weighted Gaussian emission regression Wald test
Emission control effect,AI Authority Share | Performance Pressure,"W[state=1, emission=ai_authority_share, control=performance_pressure]",Neutral,,,ai_authority_share,performance_pressure,-0.03438827864337726,0.0009552900729914832,-35.997734735890894,1e-12,***,True,True,True,True,posterior-weighted Gaussian emission regression Wald test
Emission control effect,AI Authority Share | Performance Pressure,"W[state=3, emission=ai_authority_share, control=performance_pressure]",Appreciation,,,ai_authority_share,performance_pressure,-0.047815723084958794,0.0012743978460930806,-37.52024788141896,1e-12,***,True,True,True,True,posterior-weighted Gaussian emission regression Wald test
Emission control effect,AI Authority Share | Recent Negative Shock,"W[state=2, emission=ai_authority_share, control=recent_negative_shock]",Aversion,,,ai_authority_share,recent_negative_shock,-0.0007967258305510896,0.00016422100263939512,-4.851546499813918,1.2250247996004049e-06,***,True,True,True,True,posterior-weighted Gaussian emission regression Wald test
Emission control effect,AI Authority Share | Recent Negative Shock,"W[state=1, emission=ai_authority_share, control=recent_negative_shock]",Neutral,,,ai_authority_share,recent_negative_shock,-0.005639426303623348,0.0007618517171075583,-7.402262378608216,1e-12,***,True,True,True,True,posterior-weighted Gaussian emission regression Wald test
Emission control effect,AI Authority Share | Recent Negative Shock,"W[state=3, emission=ai_authority_share, control=recent_negative_shock]",Appreciation,,,ai_authority_share,recent_negative_shock,-0.01701754383681146,0.0009426665791637899,-18.052558786911902,1e-12,***,True,True,True,True,posterior-weighted Gaussian emission regression Wald test
Emission control effect,AI Authority Share | Supply Disruptions,"W[state=2, emission=ai_authority_share, control=supply_disruptions]",Aversion,,,ai_authority_share,supply_disruptions,-0.0011760526503030529,0.00017183286568154345,-6.844165961141696,7.69229124841786e-12,***,True,True,True,True,posterior-weighted Gaussian emission regression Wald test
Emission control effect,AI Authority Share | Supply Disruptions,"W[state=1, emission=ai_authority_share, control=supply_disruptions]",Neutral,,,ai_authority_share,supply_disruptions,-0.008324550856797312,0.0007444602792923048,-11.181994645450736,1e-12,***,True,True,True,True,posterior-weighted Gaussian emission regression Wald test
Emission control effect,AI Authority Share | Supply Disruptions,"W[state=3, emission=ai_authority_share, control=supply_disruptions]",Appreciation,,,ai_authority_share,supply_disruptions,-0.028110405803080833,0.0010112840336784442,-27.79674638076906,1e-12,***,True,True,True,True,posterior-weighted Gaussian emission regression Wald test
Emission control effect,AI Authority Share | Target Difficulty,"W[state=2, emission=ai_authority_share, control=target_difficulty]",Aversion,,,ai_authority_share,target_difficulty,-0.0017054304894146973,0.0002373018175362528,-7.186756962593249,1e-12,***,True,True,True,True,posterior-weighted Gaussian emission regression Wald test
Emission control effect,AI Authority Share | Target Difficulty,"W[state=1, emission=ai_authority_share, control=target_difficulty]",Neutral,,,ai_authority_share,target_difficulty,-0.009357062402453835,0.0008906502270387504,-10.505877749073687,1e-12,***,True,True,True,True,posterior-weighted Gaussian emission regression Wald test
Emission control effect,AI Authority Share | Target Difficulty,"W[state=3, emission=ai_authority_share, control=target_difficulty]",Appreciation,,,ai_authority_share,target_difficulty,-0.010766860795093714,0.0012422187288844756,-8.66744361901745,1e-12,***,True,True,True,True,posterior-weighted Gaussian emission regression Wald test
Emission control effect,AI Authority Share | Task Complexity,"W[state=2, emission=ai_authority_share, control=task_complexity]",Aversion,,,ai_authority_share,task_complexity,0.003912842627873258,0.0003280152545867169,11.928843470414959,1e-12,***,True,True,True,True,posterior-weighted Gaussian emission regression Wald test
Emission control effect,AI Authority Share | Task Complexity,"W[state=1, emission=ai_authority_share, control=task_complexity]",Neutral,,,ai_authority_share,task_complexity,0.04446938514565703,0.0009450833796332581,47.05339878362212,1e-12,***,True,True,True,True,posterior-weighted Gaussian emission regression Wald test
Emission control effect,AI Authority Share | Task Complexity,"W[state=3, emission=ai_authority_share, control=task_complexity]",Appreciation,,,ai_authority_share,task_complexity,-0.016725996329625004,0.0016419049595671063,-10.18694549411366,1e-12,***,True,True,True,True,posterior-weighted Gaussian emission regression Wald test
Emission control effect,Escalation Share | Decision Latency,"W[state=2, emission=escalation_share, control=decision_latency]",Aversion,,,escalation_share,decision_latency,0.07472915093031855,0.001497184437796072,49.91312295519414,1e-12,***,True,True,True,True,posterior-weighted Gaussian emission regression Wald test
Emission control effect,Escalation Share | Decision Latency,"W[state=1, emission=escalation_share, control=decision_latency]",Neutral,,,escalation_share,decision_latency,0.04965790343385299,0.0011277612382508372,44.032284272221155,1e-12,***,True,True,True,True,posterior-weighted Gaussian emission regression Wald test
Emission control effect,Escalation Share | Decision Latency,"W[state=3, emission=escalation_share, control=decision_latency]",Appreciation,,,escalation_share,decision_latency,0.08550746513808637,0.0023686992340166612,36.09891197249609,1e-12,***,True,True,True,True,posterior-weighted Gaussian emission regression Wald test
Emission control effect,Escalation Share | Demand Volatility,"W[state=2, emission=escalation_share, control=demand_volatility]",Aversion,,,escalation_share,demand_volatility,-0.006944795179104279,0.0006188027902150167,-11.222953885988712,1e-12,***,True,True,True,True,posterior-weighted Gaussian emission regression Wald test
Emission control effect,Escalation Share | Demand Volatility,"W[state=1, emission=escalation_share, control=demand_volatility]",Neutral,,,escalation_share,demand_volatility,0.019792856292415027,0.0007186540653653454,27.541563105682627,1e-12,***,True,True,True,True,posterior-weighted Gaussian emission regression Wald test
Emission control effect,Escalation Share | Demand Volatility,"W[state=3, emission=escalation_share, control=demand_volatility]",Appreciation,,,escalation_share,demand_volatility,0.009528053116327711,0.001144157398100013,8.327572003773248,1e-12,***,True,True,True,True,posterior-weighted Gaussian emission regression Wald test
Emission control effect,Escalation Share | Forecast Accuracy,"W[state=2, emission=escalation_share, control=forecast_accuracy]",Aversion,,,escalation_share,forecast_accuracy,-0.014735256708017164,0.0005029650903220509,-29.296778228847078,1e-12,***,True,True,True,True,posterior-weighted Gaussian emission regression Wald test
Emission control effect,Escalation Share | Forecast Accuracy,"W[state=1, emission=escalation_share, control=forecast_accuracy]",Neutral,,,escalation_share,forecast_accuracy,-0.035109558826025275,0.0006388047362057464,-54.961331430575335,1e-12,***,True,True,True,True,posterior-weighted Gaussian emission regression Wald test
Emission control effect,Escalation Share | Forecast Accuracy,"W[state=3, emission=escalation_share, control=forecast_accuracy]",Appreciation,,,escalation_share,forecast_accuracy,-0.03116352370024159,0.0010023948938353052,-31.089068681311335,1e-12,***,True,True,True,True,posterior-weighted Gaussian emission regression Wald test
Emission control effect,Escalation Share | Performance Pressure,"W[state=2, emission=escalation_share, control=performance_pressure]",Aversion,,,escalation_share,performance_pressure,0.0032337582393957504,0.0007705881467222823,4.196480640340277,2.7109462301888598e-05,***,True,True,True,True,posterior-weighted Gaussian emission regression Wald test
Emission control effect,Escalation Share | Performance Pressure,"W[state=1, emission=escalation_share, control=performance_pressure]",Neutral,,,escalation_share,performance_pressure,0.03226854234796965,0.0008432482731863919,38.26695336835513,1e-12,***,True,True,True,True,posterior-weighted Gaussian emission regression Wald test
Emission control effect,Escalation Share | Performance Pressure,"W[state=3, emission=escalation_share, control=performance_pressure]",Appreciation,,,escalation_share,performance_pressure,0.043534758760370613,0.0011716798325056021,37.155848852730394,1e-12,***,True,True,True,True,posterior-weighted Gaussian emission regression Wald test
Emission control effect,Escalation Share | Recent Negative Shock,"W[state=2, emission=escalation_share, control=recent_negative_shock]",Aversion,,,escalation_share,recent_negative_shock,0.008959751660559807,0.00043723284295222643,20.4919456646096,1e-12,***,True,True,True,True,posterior-weighted Gaussian emission regression Wald test
Emission control effect,Escalation Share | Recent Negative Shock,"W[state=1, emission=escalation_share, control=recent_negative_shock]",Neutral,,,escalation_share,recent_negative_shock,0.021923786269512604,0.0006724974570951744,32.600548951086765,1e-12,***,True,True,True,True,posterior-weighted Gaussian emission regression Wald test
Emission control effect,Escalation Share | Recent Negative Shock,"W[state=3, emission=escalation_share, control=recent_negative_shock]",Appreciation,,,escalation_share,recent_negative_shock,0.02218327049161635,0.0008666865084316741,25.595495344399012,1e-12,***,True,True,True,True,posterior-weighted Gaussian emission regression Wald test
Emission control effect,Escalation Share | Supply Disruptions,"W[state=2, emission=escalation_share, control=supply_disruptions]",Aversion,,,escalation_share,supply_disruptions,0.013906396279893265,0.0004574991698202315,30.396549758456626,1e-12,***,True,True,True,True,posterior-weighted Gaussian emission regression Wald test
Emission control effect,Escalation Share | Supply Disruptions,"W[state=1, emission=escalation_share, control=supply_disruptions]",Neutral,,,escalation_share,supply_disruptions,0.03716308964479739,0.0006571457850527585,56.55227575082716,1e-12,***,True,True,True,True,posterior-weighted Gaussian emission regression Wald test
Emission control effect,Escalation Share | Supply Disruptions,"W[state=3, emission=escalation_share, control=supply_disruptions]",Appreciation,,,escalation_share,supply_disruptions,0.03289871424171316,0.0009297733128069061,35.38358628771002,1e-12,***,True,True,True,True,posterior-weighted Gaussian emission regression Wald test
Emission control effect,Escalation Share | Target Difficulty,"W[state=2, emission=escalation_share, control=target_difficulty]",Aversion,,,escalation_share,target_difficulty,0.020837614581921446,0.0006318080309553301,32.980927055349035,1e-12,***,True,True,True,True,posterior-weighted Gaussian emission regression Wald test
Emission control effect,Escalation Share | Target Difficulty,"W[state=1, emission=escalation_share, control=target_difficulty]",Neutral,,,escalation_share,target_difficulty,0.015281638558953897,0.0007861897524085233,19.43759571037144,1e-12,***,True,True,True,True,posterior-weighted Gaussian emission regression Wald test
Emission control effect,Escalation Share | Target Difficulty,"W[state=3, emission=escalation_share, control=target_difficulty]",Appreciation,,,escalation_share,target_difficulty,0.017224506786378185,0.001142094391211312,15.081508953134577,1e-12,***,True,True,True,True,posterior-weighted Gaussian emission regression Wald test
Emission control effect,Escalation Share | Task Complexity,"W[state=2, emission=escalation_share, control=task_complexity]",Aversion,,,escalation_share,task_complexity,-0.018268194534518323,0.0008733294766782994,-20.917872375041355,1e-12,***,True,True,True,True,posterior-weighted Gaussian emission regression Wald test
Emission control effect,Escalation Share | Task Complexity,"W[state=1, emission=escalation_share, control=task_complexity]",Neutral,,,escalation_share,task_complexity,0.022411727366691548,0.0008342386783077241,26.864886452105466,1e-12,***,True,True,True,True,posterior-weighted Gaussian emission regression Wald test
Emission control effect,Escalation Share | Task Complexity,"W[state=3, emission=escalation_share, control=task_complexity]",Appreciation,,,escalation_share,task_complexity,0.004098525780186677,0.0015095654264588212,2.7150368631594244,0.006626839363102821,***,True,True,True,True,posterior-weighted Gaussian emission regression Wald test
Transition beta,From Aversion | Team (t-1) vs Team (t),"beta[from=2, to=2, transition=team_t_minus_1_vs_team_t]",,Aversion,Aversion,,team_t_minus_1_vs_team_t,-0.26497126112257985,0.0644880282646825,-4.108844203377419,3.976442082942455e-05,***,True,True,True,True,posterior-state transition-logit Wald test
Transition beta,From Aversion | Team (t-1) vs Team (t),"beta[from=2, to=1, transition=team_t_minus_1_vs_team_t]",,Aversion,Neutral,,team_t_minus_1_vs_team_t,-0.06527096790838434,0.060528615651944576,-1.0783489297642215,0.28087806887984157,,False,False,False,True,posterior-state transition-logit Wald test
Transition beta,From Aversion | Team (t-1) vs Team (t),"beta[from=2, to=3, transition=team_t_minus_1_vs_team_t]",,Aversion,Appreciation,,team_t_minus_1_vs_team_t,0.37963719990868244,0.24248851905707208,1.5655883477903176,0.11744501962315135,,False,False,False,True,posterior-state transition-logit Wald test
Transition beta,From Neutral | Team (t-1) vs Team (t),"beta[from=1, to=2, transition=team_t_minus_1_vs_team_t]",,Neutral,Aversion,,team_t_minus_1_vs_team_t,0.09966800037954256,0.052852330206188694,1.8857825187785575,0.05932426757462017,*,True,False,False,True,posterior-state transition-logit Wald test
Transition beta,From Neutral | Team (t-1) vs Team (t),"beta[from=1, to=1, transition=team_t_minus_1_vs_team_t]",,Neutral,Neutral,,team_t_minus_1_vs_team_t,-0.4903692232584843,0.03600699293300057,-13.618721901352078,1e-12,***,True,True,True,True,posterior-state transition-logit Wald test
Transition beta,From Neutral | Team (t-1) vs Team (t),"beta[from=1, to=3, transition=team_t_minus_1_vs_team_t]",,Neutral,Appreciation,,team_t_minus_1_vs_team_t,0.4282519750325572,0.06262504393953845,6.838350092752261,8.011147301090205e-12,***,True,True,True,True,posterior-state transition-logit Wald test
Transition beta,From Appreciation | Team (t-1) vs Team (t),"beta[from=3, to=2, transition=team_t_minus_1_vs_team_t]",,Appreciation,Aversion,,team_t_minus_1_vs_team_t,0.5203491521919394,0.8285896481475353,0.6279937884274511,0.5300080091318222,,False,False,False,True,posterior-state transition-logit Wald test
Transition beta,From Appreciation | Team (t-1) vs Team (t),"beta[from=3, to=1, transition=team_t_minus_1_vs_team_t]",,Appreciation,Neutral,,team_t_minus_1_vs_team_t,-0.34479104657552784,0.08480272153688431,-4.0658016668198975,4.786763185027354e-05,***,True,True,True,True,posterior-state transition-logit Wald test
Transition beta,From Appreciation | Team (t-1) vs Team (t),"beta[from=3, to=3, transition=team_t_minus_1_vs_team_t]",,Appreciation,Appreciation,,team_t_minus_1_vs_team_t,-0.2160935990066006,0.08549447988134683,-2.527573701910407,0.011485371460862481,**,True,True,False,True,posterior-state transition-logit Wald test
Transition beta,From Aversion | Team vs Peer Average,"beta[from=2, to=2, transition=team_vs_peer_average]",,Aversion,Aversion,,team_vs_peer_average,-2.701701687191721,0.09652057920543068,-27.99093943936581,1e-12,***,True,True,True,True,posterior-state transition-logit Wald test
Transition beta,From Aversion | Team vs Peer Average,"beta[from=2, to=1, transition=team_vs_peer_average]",,Aversion,Neutral,,team_vs_peer_average,0.1539357162725449,0.08515770661764223,1.8076545551386871,0.07066028167357707,*,True,False,False,True,posterior-state transition-logit Wald test
Transition beta,From Aversion | Team vs Peer Average,"beta[from=2, to=3, transition=team_vs_peer_average]",,Aversion,Appreciation,,team_vs_peer_average,2.62085000555157,0.31650744329015,8.28053197835532,1e-12,***,True,True,True,True,posterior-state transition-logit Wald test
Transition beta,From Neutral | Team vs Peer Average,"beta[from=1, to=2, transition=team_vs_peer_average]",,Neutral,Aversion,,team_vs_peer_average,-2.934095486532316,0.10259567923851624,-28.598626260966398,1e-12,***,True,True,True,True,posterior-state transition-logit Wald test
Transition beta,From Neutral | Team vs Peer Average,"beta[from=1, to=1, transition=team_vs_peer_average]",,Neutral,Neutral,,team_vs_peer_average,1.04225401284916,0.04788576587680794,21.765424312738098,1e-12,***,True,True,True,True,posterior-state transition-logit Wald test
Transition beta,From Neutral | Team vs Peer Average,"beta[from=1, to=3, transition=team_vs_peer_average]",,Neutral,Appreciation,,team_vs_peer_average,1.8651304762864778,0.07603552895942996,24.529723167726626,1e-12,***,True,True,True,True,posterior-state transition-logit Wald test
Transition beta,From Appreciation | Team vs Peer Average,"beta[from=3, to=2, transition=team_vs_peer_average]",,Appreciation,Aversion,,team_vs_peer_average,-3.5601087266586835,1.2680638233067427,-2.8075154114679752,0.0049925290898245045,***,True,True,True,True,posterior-state transition-logit Wald test
Transition beta,From Appreciation | Team vs Peer Average,"beta[from=3, to=1, transition=team_vs_peer_average]",,Appreciation,Neutral,,team_vs_peer_average,0.6168094089722899,0.13255992397295138,4.653060974130829,3.2704348760237423e-06,***,True,True,True,True,posterior-state transition-logit Wald test
Transition beta,From Appreciation | Team vs Peer Average,"beta[from=3, to=3, transition=team_vs_peer_average]",,Appreciation,Appreciation,,team_vs_peer_average,2.964978844392544,0.13727523520934562,21.598789030453542,1e-12,***,True,True,True,True,posterior-state transition-logit Wald test
Transition beta,From Aversion | Target Attainment,"beta[from=2, to=2, transition=target_attainment]",,Aversion,Aversion,,target_attainment,-0.3160084099257412,249.968366247201,-0.0012641936044548584,0.9989913197098161,,False,False,False,True,posterior-state transition-logit Wald test
Transition beta,From Aversion | Target Attainment,"beta[from=2, to=1, transition=target_attainment]",,Aversion,Neutral,,target_attainment,0.32838456729553456,0.10206037431519742,3.2175520567989535,0.0012928956276991865,***,True,True,True,True,posterior-state transition-logit Wald test
Transition beta,From Aversion | Target Attainment,"beta[from=2, to=3, transition=target_attainment]",,Aversion,Appreciation,,target_attainment,-0.052611387251574854,360.2315854683145,-0.00014604879020582853,0.9998834699255852,,False,False,False,True,posterior-state transition-logit Wald test
Transition beta,From Neutral | Target Attainment,"beta[from=1, to=2, transition=target_attainment]",,Neutral,Aversion,,target_attainment,-0.43575266000741564,93.01018577764604,-0.004684999351029615,0.9962619250250846,,False,False,False,True,posterior-state transition-logit Wald test
Transition beta,From Neutral | Target Attainment,"beta[from=1, to=1, transition=target_attainment]",,Neutral,Neutral,,target_attainment,0.1858956971837722,0.027689395645368396,6.71360616044601,1.8987256211744352e-11,***,True,True,True,True,posterior-state transition-logit Wald test
Transition beta,From Neutral | Target Attainment,"beta[from=1, to=3, transition=target_attainment]",,Neutral,Appreciation,,target_attainment,0.2269872693463285,0.028848077081357403,7.868367403005011,1e-12,***,True,True,True,True,posterior-state transition-logit Wald test
Transition beta,From Appreciation | Target Attainment,"beta[from=3, to=2, transition=target_attainment]",,Appreciation,Aversion,,target_attainment,0.24228055117435177,91.92040903519435,0.002635764502327092,0.9978969666327326,,False,False,False,True,posterior-state transition-logit Wald test
Transition beta,From Appreciation | Target Attainment,"beta[from=3, to=1, transition=target_attainment]",,Appreciation,Neutral,,target_attainment,-0.8502475326399744,92.77256627780983,-0.00916485947035125,0.9926876024938658,,False,False,False,True,posterior-state transition-logit Wald test
Transition beta,From Appreciation | Target Attainment,"beta[from=3, to=3, transition=target_attainment]",,Appreciation,Appreciation,,target_attainment,0.591878971131316,92.73402968737439,0.0063825434215105566,0.9949075017207449,,False,False,False,True,posterior-state transition-logit Wald test
