component,comparison,state,variable,estimate,p_value,to_state
emission_control,"North, Central, South America minus Europe, Middle East, Africa",Neutral,Performance pressure,0.01211089842473958,0.012572170323822003,
emission_control,"North, Central, South America minus Europe, Middle East, Africa",Neutral,Recent negative shock,-0.0005726515439280874,0.8597115820373622,
emission_control,"North, Central, South America minus Europe, Middle East, Africa",Neutral,Supply disruptions,0.003018602844326722,0.3731934224064908,
emission_control,"North, Central, South America minus Europe, Middle East, Africa",Neutral,Target difficulty,-0.0013640119617150778,0.7367699996963357,
emission_control,"North, Central, South America minus Europe, Middle East, Africa",Neutral,Task complexity,-0.008134422260882285,0.07083814735376526,
emission_intercept,"North, Central, South America minus Europe, Middle East, Africa",Neutral,Emission intercept,0.0013639122452621623,0.7107385698562825,
emission_sigma,"Asia-Pacific minus Europe, Middle East, Africa",Appreciation,Escalation share,0.006567308420559498,,
emission_control,"Asia-Pacific minus Europe, Middle East, Africa",Appreciation,Decision latency,0.0019278920668370264,0.7938023414336559,
emission_control,"Asia-Pacific minus Europe, Middle East, Africa",Appreciation,Demand volatility,-0.0020572170033646203,0.7028623589899552,
emission_control,"Asia-Pacific minus Europe, Middle East, Africa",Appreciation,Forecast accuracy,0.005808909315820297,0.2822314265802083,
emission_control,"Asia-Pacific minus Europe, Middle East, Africa",Appreciation,Performance pressure,0.0050989211171644,0.4476358355964899,
emission_control,"Asia-Pacific minus Europe, Middle East, Africa",Appreciation,Recent negative shock,0.002307873847883112,0.553312177288128,
emission_control,"Asia-Pacific minus Europe, Middle East, Africa",Appreciation,Supply disruptions,0.004852999444817554,0.3226858122524153,
emission_control,"Asia-Pacific minus Europe, Middle East, Africa",Appreciation,Target difficulty,0.009113419652653566,0.1426389790151939,
emission_control,"Asia-Pacific minus Europe, Middle East, Africa",Appreciation,Task complexity,0.0015764631029730487,0.7800186444111306,
emission_intercept,"Asia-Pacific minus Europe, Middle East, Africa",Appreciation,Emission intercept,-0.016062695455095432,0.0052738093696553445,
emission_sigma,"North, Central, South America minus Europe, Middle East, Africa",Appreciation,Escalation share,0.003405077066548995,,
emission_control,"North, Central, South America minus Europe, Middle East, Africa",Appreciation,Decision latency,0.008381628370686373,0.3437112560001565,
emission_control,"North, Central, South America minus Europe, Middle East, Africa",Appreciation,Demand volatility,0.007076085227034677,0.21592515306580595,
emission_control,"North, Central, South America minus Europe, Middle East, Africa",Appreciation,Forecast accuracy,0.0054083719156992685,0.35815651758197264,
emission_control,"North, Central, South America minus Europe, Middle East, Africa",Appreciation,Performance pressure,0.0009745810052810733,0.9008615560522907,
emission_control,"North, Central, South America minus Europe, Middle East, Africa",Appreciation,Recent negative shock,-0.006675000448798873,0.17691415247986408,
emission_control,"North, Central, South America minus Europe, Middle East, Africa",Appreciation,Supply disruptions,0.0046197066148250384,0.33375618984939903,
emission_control,"North, Central, South America minus Europe, Middle East, Africa",Appreciation,Target difficulty,0.00020798979032606284,0.9763599916198932,
emission_control,"North, Central, South America minus Europe, Middle East, Africa",Appreciation,Task complexity,-0.002683876663198656,0.708342819402193,
emission_intercept,"North, Central, South America minus Europe, Middle East, Africa",Appreciation,Emission intercept,-0.011913457063191964,0.06428346692501437,
transition_threshold,"Asia-Pacific minus Europe, Middle East, Africa",Aversion,To Neutral,0.1672475944199315,0.012818038804415476,Neutral
transition_threshold,"North, Central, South America minus Europe, Middle East, Africa",Aversion,To Neutral,0.01384836389782363,0.862140364946577,Neutral
transition_threshold,"Asia-Pacific minus Europe, Middle East, Africa",Aversion,To Appreciation,0.2814186559736601,0.2725658576055149,Appreciation
transition_threshold,"North, Central, South America minus Europe, Middle East, Africa",Aversion,To Appreciation,0.555662611171422,0.03386039185269364,Appreciation
transition_threshold,"Asia-Pacific minus Europe, Middle East, Africa",Neutral,To Aversion,-0.49750110140879744,1.613805981761625e-12,Aversion
transition_threshold,"North, Central, South America minus Europe, Middle East, Africa",Neutral,To Aversion,-0.6542971261009201,1.13535825601953e-15,Aversion
transition_threshold,"Asia-Pacific minus Europe, Middle East, Africa",Neutral,To Appreciation,0.020950389890293138,0.7825499696530087,Appreciation
transition_threshold,"North, Central, South America minus Europe, Middle East, Africa",Neutral,To Appreciation,-0.12063386649300295,0.18784779910467775,Appreciation
transition_threshold,"Asia-Pacific minus Europe, Middle East, Africa",Appreciation,To Aversion,-21.603246833768843,,Aversion
transition_threshold,"North, Central, South America minus Europe, Middle East, Africa",Appreciation,To Aversion,0.5203998445511809,0.4881369607258055,Aversion
transition_threshold,"Asia-Pacific minus Europe, Middle East, Africa",Appreciation,To Neutral,-0.048191942519553506,0.6806469014749179,Neutral
transition_threshold,"North, Central, South America minus Europe, Middle East, Africa",Appreciation,To Neutral,-0.14413343282496255,0.28985844664711247,Neutral
transition_factor,"Asia-Pacific minus Europe, Middle East, Africa",Aversion,Team (t-1) vs. Team (t),0.0848066122200823,0.07769946684251146,
transition_factor,"North, Central, South America minus Europe, Middle East, Africa",Aversion,Team (t-1) vs. Team (t),0.1176800494308866,0.022309919723464973,
transition_factor,"Asia-Pacific minus Europe, Middle East, Africa",Aversion,Team vs. Peer,-0.1385662978577749,0.015512302840055206,
transition_factor,"North, Central, South America minus Europe, Middle East, Africa",Aversion,Team vs. Peer,-0.18408320823533203,0.005470163287515885,
transition_factor,"Asia-Pacific minus Europe, Middle East, Africa",Aversion,Target Attainment,0.012793480527934949,0.8028912677024076,
transition_factor,"North, Central, South America minus Europe, Middle East, Africa",Aversion,Target Attainment,0.0183798031958257,0.7288711424154811,
transition_factor,"Asia-Pacific minus Europe, Middle East, Africa",Neutral,Team (t-1) vs. Team (t),-0.11169033191605207,0.01498848525919513,
transition_factor,"North, Central, South America minus Europe, Middle East, Africa",Neutral,Team (t-1) vs. Team (t),-0.1092960825607833,0.01663621000671835,
transition_factor,"Asia-Pacific minus Europe, Middle East, Africa",Neutral,Team vs. Peer,0.14777168187782966,0.0030833980877421406,
transition_factor,"North, Central, South America minus Europe, Middle East, Africa",Neutral,Team vs. Peer,0.1996467824844035,0.00046515426570571504,
transition_factor,"Asia-Pacific minus Europe, Middle East, Africa",Neutral,Target Attainment,-0.013159880270665638,0.7645257103439481,
transition_factor,"North, Central, South America minus Europe, Middle East, Africa",Neutral,Target Attainment,-0.05175763887230519,0.26826907655214716,
transition_factor,"Asia-Pacific minus Europe, Middle East, Africa",Appreciation,Team (t-1) vs. Team (t),0.146098681041319,0.09972319698240983,
transition_factor,"North, Central, South America minus Europe, Middle East, Africa",Appreciation,Team (t-1) vs. Team (t),0.04326258209655056,0.6341893062272981,
transition_factor,"Asia-Pacific minus Europe, Middle East, Africa",Appreciation,Team vs. Peer,-0.1492014335613187,0.0965127389920023,
transition_factor,"North, Central, South America minus Europe, Middle East, Africa",Appreciation,Team vs. Peer,-0.18613861586965808,0.049530660298734264,
transition_factor,"Asia-Pacific minus Europe, Middle East, Africa",Appreciation,Target Attainment,0.002405497007154666,0.9770569587279908,
transition_factor,"North, Central, South America minus Europe, Middle East, Africa",Appreciation,Target Attainment,0.11787622361629853,0.17574639717104978,
manager_transition_heterogeneity_proxy,"Asia-Pacific minus Europe, Middle East, Africa",,Manager-specific heterogeneity,-0.007570931943280068,0.4191322468530846,
manager_transition_heterogeneity_proxy,"North, Central, South America minus Europe, Middle East, Africa",,Manager-specific heterogeneity,-0.0060583315410289995,0.6623815873873958,
