manager_id,n_periods,decoded_state_sequence,dominant_state,aversion_periods,aversion_share,neutral_periods,neutral_share,appreciation_periods,appreciation_share,upward_transitions,downward_transitions,same_state_transitions,net_state_movement,neutral_to_appreciation_rate,neutral_to_aversion_rate,neutral_persistence_rate,appreciation_persistence_rate,appreciation_to_neutral_rate,aversion_to_neutral_rate,aversion_persistence_rate
M0025,26,N N N N N A A N N N N N P P P P N A A N P P P P P P,Neutral,4,0.15384615384615385,12,0.46153846153846156,10,0.38461538461538464,4,3,18,1,0.16666666666666666,0.16666666666666666,0.6666666666666666,0.8888888888888888,0.1111111111111111,0.5,0.5
M0026,26,N A N N N N N N N A A A N N A N A A A P N N N A N P,Neutral,9,0.34615384615384615,15,0.5769230769230769,2,0.07692307692307693,6,6,13,1,0.06666666666666667,0.3333333333333333,0.6,0.0,1.0,0.4444444444444444,0.4444444444444444
M0027,26,A N A N N N N A N A N N N N A A A A A N N A P P P P,Neutral,10,0.38461538461538464,12,0.46153846153846156,4,0.15384615384615385,6,5,14,2,0.0,0.4166666666666667,0.5833333333333334,1.0,0.0,0.5,0.4
M0028,26,N N N N N N N N N A N A N A N N N N N A A N A A A A,Neutral,9,0.34615384615384615,17,0.6538461538461539,0,0.0,4,5,16,-1,0.0,0.29411764705882354,0.7058823529411765,,,0.5,0.5
M0029,26,N N N N N N N N N N N N N N A N A A N P N N N P P P,Neutral,3,0.11538461538461539,19,0.7307692307692307,4,0.15384615384615385,4,3,18,1,0.10526315789473684,0.10526315789473684,0.7894736842105263,0.6666666666666666,0.3333333333333333,0.6666666666666666,0.3333333333333333
M0030,26,N N N N N N N N N N N N N N N P P P P P A N A A A A,Neutral,5,0.19230769230769232,16,0.6153846153846154,5,0.19230769230769232,2,2,21,-1,0.0625,0.0625,0.875,0.8,0.0,0.25,0.75
M0031,26,N N A N A A A A A A A N A A A A N A P P P P P P P P,Aversion,13,0.5,5,0.19230769230769232,8,0.3076923076923077,4,4,17,1,0.0,0.8,0.2,1.0,0.0,0.23076923076923078,0.6923076923076923
M0032,26,N N N A A N N N N N N A A N N A N P P P P P P P P N,Neutral,5,0.19230769230769232,13,0.5,8,0.3076923076923077,4,4,17,0,0.08333333333333333,0.25,0.6666666666666666,0.875,0.125,0.6,0.4
M0033,26,N A A A A A N N A A N N N A A N N P P P P P P P P P,Aversion,9,0.34615384615384615,8,0.3076923076923077,9,0.34615384615384615,4,3,18,1,0.125,0.375,0.5,1.0,0.0,0.3333333333333333,0.6666666666666666
M0034,26,N N N N N N N N N N N N N N N N N N N N N A A A A A,Neutral,5,0.19230769230769232,21,0.8076923076923077,0,0.0,0,1,24,-1,0.0,0.047619047619047616,0.9523809523809523,,,0.0,1.0
M0035,26,N N N N N N N N N A N N N N N A N A A A A A A A A A,Neutral,11,0.4230769230769231,15,0.5769230769230769,0,0.0,2,3,20,-1,0.0,0.2,0.8,,,0.2,0.8
M0036,26,N A A N N N N N A N N N A N N N N A A A A A A N A A,Neutral,12,0.46153846153846156,14,0.5384615384615384,0,0.0,4,5,16,-1,0.0,0.35714285714285715,0.6428571428571429,,,0.36363636363636365,0.6363636363636364
M0037,26,N A N A N A A N A N N N P P P P P P P P P P P P P P,Appreciation,5,0.19230769230769232,7,0.2692307692307692,14,0.5384615384615384,5,4,16,1,0.14285714285714285,0.5714285714285714,0.2857142857142857,1.0,0.0,0.8,0.2
M0038,26,N N N N N A A A A N N N N N P P P P P P P P N N N A,Neutral,5,0.19230769230769232,13,0.5,8,0.3076923076923077,2,3,20,-1,0.07692307692307693,0.15384615384615385,0.7692307692307693,0.875,0.125,0.25,0.75
M0039,26,N N N N N N N N N A N N N N N A A N P N N A N A A A,Neutral,7,0.2692307692307692,18,0.6923076923076923,1,0.038461538461538464,4,5,16,-1,0.05555555555555555,0.2222222222222222,0.7222222222222222,0.0,1.0,0.5,0.5
M0040,26,N N N N N N N N N N N N N A A A N A N N N N N N N P,Neutral,4,0.15384615384615385,21,0.8076923076923077,1,0.038461538461538464,3,2,20,1,0.047619047619047616,0.09523809523809523,0.8571428571428571,,,0.5,0.5
M0041,26,N N A A N N N N A N A A A A N N N N N N N P P N A N,Neutral,8,0.3076923076923077,16,0.6153846153846154,2,0.07692307692307693,5,5,15,0,0.06666666666666667,0.26666666666666666,0.6666666666666666,0.5,0.5,0.5,0.5
M0042,26,N N A A A A A A A A A A A A A A N P P P P P P P P P,Aversion,14,0.5384615384615384,3,0.11538461538461539,9,0.34615384615384615,2,1,22,1,0.3333333333333333,0.3333333333333333,0.3333333333333333,1.0,0.0,0.07142857142857142,0.9285714285714286
M0043,26,N N N N N A A A A A N A A N N P P P N P P P P P P P,Appreciation,7,0.2692307692307692,9,0.34615384615384615,10,0.38461538461538464,4,3,18,1,0.2222222222222222,0.2222222222222222,0.5555555555555556,0.8888888888888888,0.1111111111111111,0.2857142857142857,0.7142857142857143
M0044,26,N N N N N N A A N N N N N N A N A P P N A A A A N A,Neutral,9,0.34615384615384615,15,0.5769230769230769,2,0.07692307692307693,4,6,15,-1,0.0,0.3333333333333333,0.6666666666666666,0.5,0.5,0.375,0.5
M0045,26,N N N N A A N N N N N P P N N N N N P N P P P P P P,Neutral,2,0.07692307692307693,15,0.5769230769230769,9,0.34615384615384615,4,3,18,1,0.2,0.06666666666666667,0.7333333333333333,0.75,0.25,0.5,0.5
M0046,26,N N N N N N N N A N N N N P P P P P P P P P P P P P,Appreciation,1,0.038461538461538464,12,0.46153846153846156,13,0.5,2,1,22,1,0.08333333333333333,0.08333333333333333,0.8333333333333334,1.0,0.0,1.0,0.0
M0047,26,N N N A A A A N A A N A N A N A N N A A N N A A A A,Aversion,15,0.5769230769230769,11,0.4230769230769231,0,0.0,6,7,12,-1,0.0,0.6363636363636364,0.36363636363636365,,,0.42857142857142855,0.5714285714285714
M0048,26,N N N N N N N A A N A A N A A A N N A A N A A A A A,Aversion,14,0.5384615384615384,12,0.46153846153846156,0,0.0,4,5,16,-1,0.0,0.4166666666666667,0.5833333333333334,,,0.3076923076923077,0.6923076923076923
M0049,26,N A N A N A A N N N N P P P P P P P N N N A A A N N,Neutral,7,0.2692307692307692,12,0.46153846153846156,7,0.2692307692307692,5,5,15,0,0.09090909090909091,0.36363636363636365,0.5454545454545454,0.8571428571428571,0.14285714285714285,0.5714285714285714,0.42857142857142855
M0050,26,N A A N N N N N A A A N N A A A N A N N P P P P P P,Neutral,9,0.34615384615384615,11,0.4230769230769231,6,0.23076923076923078,5,4,16,1,0.09090909090909091,0.36363636363636365,0.5454545454545454,1.0,0.0,0.4444444444444444,0.5555555555555556
M0051,26,N N N A A A A N N A A P N A A N N P P P P P P P P P,Appreciation,8,0.3076923076923077,8,0.3076923076923077,10,0.38461538461538464,4,4,17,1,0.125,0.375,0.5,0.8888888888888888,0.1111111111111111,0.25,0.625
M0052,26,N N N N A A A A A A A N N N N N N N P P P N N P P P,Neutral,7,0.2692307692307692,13,0.5,6,0.23076923076923078,3,2,20,1,0.15384615384615385,0.07692307692307693,0.7692307692307693,0.8,0.2,0.14285714285714285,0.8571428571428571
M0053,26,N A A N A N N N N N A A A A A A N N P P P P P P P N,Neutral,9,0.34615384615384615,10,0.38461538461538464,7,0.2692307692307692,4,4,17,0,0.1111111111111111,0.3333333333333333,0.5555555555555556,0.8571428571428571,0.14285714285714285,0.3333333333333333,0.6666666666666666
M0054,26,N N N N N A A N A A A A N A A A N A N N N A A N P P,Neutral,12,0.46153846153846156,12,0.46153846153846156,2,0.07692307692307693,6,5,14,1,0.08333333333333333,0.4166666666666667,0.5,1.0,0.0,0.4166666666666667,0.5833333333333334
M0055,26,N N N N N N N N A N N N P P P P N A N A N A A A A A,Neutral,8,0.3076923076923077,14,0.5384615384615384,4,0.15384615384615385,4,5,16,-1,0.07142857142857142,0.2857142857142857,0.6428571428571429,0.75,0.25,0.42857142857142855,0.5714285714285714
M0056,26,N N A N N N N N N N N N N A A N N A N P P P P P P P,Neutral,4,0.15384615384615385,15,0.5769230769230769,7,0.2692307692307692,4,3,18,1,0.06666666666666667,0.2,0.7333333333333333,1.0,0.0,0.75,0.25
M0057,26,N N N A N N A N N A A A A A A N N A A N A A A N A N,Aversion,14,0.5384615384615384,12,0.46153846153846156,0,0.0,6,6,13,0,0.0,0.5454545454545454,0.45454545454545453,,,0.42857142857142855,0.5714285714285714
M0058,26,N N A N A A A A A A A A N A A A A A A A A A A A A A,Aversion,22,0.8461538461538461,4,0.15384615384615385,0,0.0,2,3,20,-1,0.0,0.75,0.25,,,0.09523809523809523,0.9047619047619048
M0059,26,N N N A A A A A A N N N N A N N N A A A A A A A A A,Aversion,16,0.6153846153846154,10,0.38461538461538464,0,0.0,2,3,20,-1,0.0,0.3,0.7,,,0.13333333333333333,0.8666666666666667
M0060,26,N N N N N N N N N N A A N N N N N N P P N P P P P P,Neutral,2,0.07692307692307693,17,0.6538461538461539,7,0.2692307692307692,3,2,20,1,0.11764705882352941,0.058823529411764705,0.8235294117647058,0.8333333333333334,0.16666666666666666,0.5,0.5
M0061,26,N N A N A A A A N A A A A A A A A N N A A N P N N N,Aversion,15,0.5769230769230769,10,0.38461538461538464,1,0.038461538461538464,5,5,15,0,0.1111111111111111,0.4444444444444444,0.4444444444444444,0.0,1.0,0.26666666666666666,0.7333333333333333
M0062,26,N N N N N A N N N N N P P N N N N P P P P P P P P P,Neutral,1,0.038461538461538464,14,0.5384615384615384,11,0.4230769230769231,3,2,20,1,0.14285714285714285,0.07142857142857142,0.7857142857142857,0.9,0.1,1.0,0.0
M0063,26,N N N N N N N N N N A A N N N N N P P N N N A N N A,Neutral,4,0.15384615384615385,20,0.7692307692307693,2,0.07692307692307693,3,4,18,-1,0.05,0.15,0.8,0.5,0.5,0.6666666666666666,0.3333333333333333
M0064,26,N N N N N N N N N N N N N N N P P P N P N N N A A N,Neutral,2,0.07692307692307693,20,0.7692307692307693,4,0.15384615384615385,3,3,19,0,0.10526315789473684,0.05263157894736842,0.8421052631578947,0.5,0.5,0.5,0.5
M0065,26,N N N N N N A N N A N N N N N N N N P P P P N N N N,Neutral,2,0.07692307692307693,20,0.7692307692307693,4,0.15384615384615385,3,3,19,0,0.05263157894736842,0.10526315789473684,0.8421052631578947,0.75,0.25,1.0,0.0
M0066,26,N N A N N N A N N A N N N P P P P P P P P P P P P P,Appreciation,3,0.11538461538461539,10,0.38461538461538464,13,0.5,4,3,18,1,0.1,0.3,0.6,1.0,0.0,1.0,0.0
M0067,26,N A N N A N A A A A A A N A A A N P P P P P N N N N,Aversion,11,0.4230769230769231,10,0.38461538461538464,5,0.19230769230769232,5,5,15,0,0.1111111111111111,0.4444444444444444,0.4444444444444444,0.8,0.2,0.36363636363636365,0.6363636363636364
M0068,26,N A A N A N N A A A N A A N A A N N N A N A N A N N,Neutral,13,0.5,13,0.5,0,0.0,8,8,9,0,0.0,0.6666666666666666,0.3333333333333333,,,0.6153846153846154,0.38461538461538464
M0069,26,N N A A A A A N N N N N N N N N A A A A A A N A A A,Aversion,14,0.5384615384615384,12,0.46153846153846156,0,0.0,2,3,20,-1,0.0,0.25,0.75,,,0.15384615384615385,0.8461538461538461
M0070,26,N A N N N A A A A A A A A N A A A A A A A A A A P P,Aversion,19,0.7307692307692307,5,0.19230769230769232,2,0.07692307692307693,3,3,19,1,0.0,0.6,0.4,1.0,0.0,0.10526315789473684,0.8421052631578947
M0071,26,N N A A A N N N N N A N N N P P P P P P P P P P P P,Appreciation,4,0.15384615384615385,10,0.38461538461538464,12,0.46153846153846156,3,2,20,1,0.1,0.2,0.7,1.0,0.0,0.5,0.5
M0072,26,N A N N N N N N N N N N N N A A A A A A A A P P P P,Neutral,9,0.34615384615384615,13,0.5,4,0.15384615384615385,2,2,21,1,0.0,0.15384615384615385,0.8461538461538461,1.0,0.0,0.1111111111111111,0.7777777777777778
M0073,26,N N N N N A A A N A A A N N N A A N A A N N N P P N,Neutral,10,0.38461538461538464,14,0.5384615384615384,2,0.07692307692307693,5,5,15,0,0.07692307692307693,0.3076923076923077,0.6153846153846154,0.5,0.5,0.4,0.6
M0074,26,A N N N N A A N A N A A N A A A A A A A A A A A A A,Aversion,19,0.7307692307692307,7,0.2692307692307692,0,0.0,4,4,17,0,0.0,0.5714285714285714,0.42857142857142855,,,0.2222222222222222,0.7777777777777778
M0075,26,A A A A A A A N N N A A A P P N N N A N A A A A A A,Aversion,17,0.6538461538461539,7,0.2692307692307692,2,0.07692307692307693,3,4,18,0,0.0,0.42857142857142855,0.5714285714285714,0.5,0.5,0.125,0.8125
M0076,26,N N A N A A N A A A N A A A A A N A A A A A A N N A,Aversion,18,0.6923076923076923,8,0.3076923076923077,0,0.0,5,6,14,-1,0.0,0.75,0.25,,,0.29411764705882354,0.7058823529411765
M0077,26,N N N N N A A A A A A A N A N A A A N N A A A A A A,Aversion,17,0.6538461538461539,9,0.34615384615384615,0,0.0,3,4,18,-1,0.0,0.4444444444444444,0.5555555555555556,,,0.1875,0.8125
M0078,26,N N N N A A A A A A A A N A A A A A A A A A A A A P,Aversion,20,0.7692307692307693,5,0.19230769230769232,1,0.038461538461538464,2,2,21,1,0.0,0.4,0.6,,,0.05,0.9
M0079,26,N N N N N N N N N N N N N N P N P P P P P P P P N A,Neutral,1,0.038461538461538464,16,0.6153846153846154,9,0.34615384615384615,2,3,20,-1,0.125,0.0625,0.8125,0.7777777777777778,0.2222222222222222,,
M0080,26,N A A N A N N A A A A A A A N A N N A A A A N A N A,Aversion,17,0.6538461538461539,9,0.34615384615384615,0,0.0,6,7,12,-1,0.0,0.7777777777777778,0.2222222222222222,,,0.375,0.625
M0081,26,N N N N A N A A N N N P P P P P P N N N A A A N P P,Neutral,6,0.23076923076923078,12,0.46153846153846156,8,0.3076923076923077,5,4,16,1,0.16666666666666666,0.25,0.5833333333333334,0.8571428571428571,0.14285714285714285,0.5,0.5
M0082,26,N N N N N A A A A A A A A N A A A N A A N N A A A A,Aversion,17,0.6538461538461539,9,0.34615384615384615,0,0.0,3,4,18,-1,0.0,0.4444444444444444,0.5555555555555556,,,0.1875,0.8125
M0083,26,N N N A N N A A A N A A N N N N A A A A A A A A A N,Aversion,15,0.5769230769230769,11,0.4230769230769231,0,0.0,4,4,17,0,0.0,0.4,0.6,,,0.26666666666666666,0.7333333333333333
M0084,26,N N N N N N N N N A A A N A A A A N A A P P N N A A,Neutral,11,0.4230769230769231,13,0.5,2,0.07692307692307693,3,5,17,-1,0.0,0.3076923076923077,0.6923076923076923,0.5,0.5,0.2,0.7
M0085,26,N A N N N N N N N N N N N N P P P P P P P P P P P P,Neutral,1,0.038461538461538464,13,0.5,12,0.46153846153846156,2,1,22,1,0.07692307692307693,0.07692307692307693,0.8461538461538461,1.0,0.0,1.0,0.0
M0086,26,N N N N N N N N N N N N N N P P P P P N P P P P P N,Neutral,0,0.0,16,0.6153846153846154,10,0.38461538461538464,2,2,21,0,0.13333333333333333,0.0,0.8666666666666667,0.8,0.2,,
M0087,26,N N N N N A A N N A A A N N A A A A A P P P P P P P,Aversion,10,0.38461538461538464,9,0.34615384615384615,7,0.2692307692307692,3,3,19,1,0.0,0.3333333333333333,0.6666666666666666,1.0,0.0,0.2,0.7
M0088,26,N N N N A A A A N N N A N A A A A N N N N A A N A P,Neutral,12,0.46153846153846156,13,0.5,1,0.038461538461538464,5,5,15,1,0.0,0.38461538461538464,0.6153846153846154,,,0.3333333333333333,0.5833333333333334
M0089,26,N N N N N N A A A N A A A N N A N N N A N A N A A P,Neutral,11,0.4230769230769231,14,0.5384615384615384,1,0.038461538461538464,6,6,13,1,0.0,0.42857142857142855,0.5714285714285714,,,0.45454545454545453,0.45454545454545453
M0090,26,N A A N A A A N N N N N P P P N N N P P N N A A A A,Neutral,9,0.34615384615384615,12,0.46153846153846156,5,0.19230769230769232,4,5,16,-1,0.16666666666666666,0.25,0.5833333333333334,0.6,0.4,0.25,0.75
M0091,26,N N N A N N N N N N N A N N N N N P P P P P P N N N,Neutral,2,0.07692307692307693,18,0.6923076923076923,6,0.23076923076923078,3,3,19,0,0.058823529411764705,0.11764705882352941,0.8235294117647058,0.8333333333333334,0.16666666666666666,1.0,0.0
M0092,26,N N N N N N N N N P N N N P P P P P P P P P P P P P,Appreciation,0,0.0,12,0.46153846153846156,14,0.5384615384615384,2,1,22,1,0.16666666666666666,0.0,0.8333333333333334,0.9230769230769231,0.07692307692307693,,
M0093,26,N N N N N N N N N N N N N P P P P P P P P N N N A N,Neutral,1,0.038461538461538464,17,0.6538461538461539,8,0.3076923076923077,2,2,21,0,0.0625,0.0625,0.875,0.875,0.125,1.0,0.0
M0094,26,N N N N N A A A A N A A N A A A A A N N A N A A A N,Aversion,15,0.5769230769230769,11,0.4230769230769231,0,0.0,5,5,15,0,0.0,0.5,0.5,,,0.3333333333333333,0.6666666666666666
M0095,26,N N N N A A A N N N N N N N P P P P P N N N P P P P,Neutral,3,0.11538461538461539,14,0.5384615384615384,9,0.34615384615384615,3,2,20,1,0.14285714285714285,0.07142857142857142,0.7857142857142857,0.875,0.125,0.3333333333333333,0.6666666666666666
M0096,26,N N N N N N N N N N N N P P P P P P P P P P P N P P,Neutral,0,0.0,13,0.5,13,0.5,2,1,22,1,0.15384615384615385,0.0,0.8461538461538461,0.9166666666666666,0.08333333333333333,,
M0097,26,N N N N N N N N N N N N N N N N A N N A A A A N N P,Neutral,5,0.19230769230769232,20,0.7692307692307693,1,0.038461538461538464,3,2,20,1,0.05,0.1,0.85,,,0.4,0.6
M0098,26,N N N N N A N A N A A A A A A N N N N A A A A N P P,Neutral,12,0.46153846153846156,12,0.46153846153846156,2,0.07692307692307693,5,4,16,1,0.08333333333333333,0.3333333333333333,0.5833333333333334,1.0,0.0,0.3333333333333333,0.6666666666666666
M0099,26,N N N N N N N N N N N N N N N N P P P P P P P P P P,Neutral,0,0.0,16,0.6153846153846154,10,0.38461538461538464,1,0,24,1,0.0625,0.0,0.9375,1.0,0.0,,
M0100,26,N N N N N N N A A N A A A A N A N N N N A A A N A A,Neutral,12,0.46153846153846156,14,0.5384615384615384,0,0.0,4,5,16,-1,0.0,0.35714285714285715,0.6428571428571429,,,0.36363636363636365,0.6363636363636364
M0101,26,N N N N N N N N N N N N P N P P P P P P P P P P P P,Neutral,0,0.0,13,0.5,13,0.5,2,1,22,1,0.15384615384615385,0.0,0.8461538461538461,0.9166666666666666,0.08333333333333333,,
M0102,26,N N N N N A A A A N N A A A A A A N A A A A A N A N,Aversion,16,0.6153846153846154,10,0.38461538461538464,0,0.0,4,4,17,0,0.0,0.4444444444444444,0.5555555555555556,,,0.25,0.75
M0103,26,N N N N A N N N A A A N A A A N N A A N A A A N N P,Neutral,12,0.46153846153846156,13,0.5,1,0.038461538461538464,6,5,14,1,0.07692307692307693,0.38461538461538464,0.5384615384615384,,,0.4166666666666667,0.5833333333333334
M0104,26,A N N N N A A A N N N N A A A A A A A A N A A A N N,Aversion,15,0.5769230769230769,11,0.4230769230769231,0,0.0,4,3,18,1,0.0,0.3,0.7,,,0.26666666666666666,0.7333333333333333
M0105,26,N N N N N A N N N N N N N P P P P P P P P P P P P P,Appreciation,1,0.038461538461538464,12,0.46153846153846156,13,0.5,2,1,22,1,0.08333333333333333,0.08333333333333333,0.8333333333333334,1.0,0.0,1.0,0.0
M0106,26,N A A A A A A A A A A A N N A A A N N P P P P P P P,Aversion,14,0.5384615384615384,5,0.19230769230769232,7,0.2692307692307692,3,2,20,1,0.2,0.4,0.4,1.0,0.0,0.14285714285714285,0.8571428571428571
M0107,26,N A N N A N N N A N N N A A A A A A N A A A A A A A,Aversion,16,0.6153846153846154,10,0.38461538461538464,0,0.0,4,5,16,-1,0.0,0.5,0.5,,,0.26666666666666666,0.7333333333333333
M0108,26,N N N N A N A A A A A A A N N N P P P P P P P P P P,Appreciation,8,0.3076923076923077,8,0.3076923076923077,10,0.38461538461538464,3,2,20,1,0.125,0.25,0.625,1.0,0.0,0.25,0.75
M0109,26,N N N A N A A A A A A A A N N N N A A N P P P P P N,Aversion,11,0.4230769230769231,10,0.38461538461538464,5,0.19230769230769232,4,4,17,0,0.1111111111111111,0.3333333333333333,0.5555555555555556,0.8,0.2,0.2727272727272727,0.7272727272727273
M0110,26,N A A A A A A A N N N A A A A A A A A A A N P P P P,Aversion,17,0.6538461538461539,5,0.19230769230769232,4,0.15384615384615385,3,2,20,1,0.2,0.4,0.4,1.0,0.0,0.11764705882352941,0.8823529411764706
M0111,26,N N A N N N A N N N N N N N N P P P P P P P N A A A,Neutral,5,0.19230769230769232,14,0.5384615384615384,7,0.2692307692307692,3,4,18,-1,0.07142857142857142,0.21428571428571427,0.7142857142857143,0.8571428571428571,0.14285714285714285,0.5,0.5
M0112,26,N N N A N N N N N N N A A N N N A A A A A A A N A N,Neutral,11,0.4230769230769231,15,0.5769230769230769,0,0.0,4,4,17,0,0.0,0.2857142857142857,0.7142857142857143,,,0.36363636363636365,0.6363636363636364
M0113,26,N N N N N A A A N N N N N P P P P P P P P P P P P P,Appreciation,3,0.11538461538461539,10,0.38461538461538464,13,0.5,2,1,22,1,0.1,0.1,0.8,1.0,0.0,0.3333333333333333,0.6666666666666666
M0114,26,N N N N A A A A A A A A A A A A N A N P P P P P N A,Aversion,14,0.5384615384615384,7,0.2692307692307692,5,0.19230769230769232,3,4,18,-1,0.14285714285714285,0.42857142857142855,0.42857142857142855,0.8,0.2,0.15384615384615385,0.8461538461538461
M0115,26,N A N N A A A N N N A A A A N A A N A A N N A N N A,Aversion,14,0.5384615384615384,12,0.46153846153846156,0,0.0,6,7,12,-1,0.0,0.5833333333333334,0.4166666666666667,,,0.46153846153846156,0.5384615384615384
