scenario_name,origin_state,dest_state,baseline,scenario,abs_change,rel_change_pct
cov3_plus1SD,2,3,0.553,0.5297,-0.0232,-4.2001
cov3_plus1SD,3,1,0.2044,0.2839,0.0795,38.9115
cov3_plus1SD,3,2,0.2727,0.3235,0.0508,18.6118
cov3_plus1SD,3,3,0.5229,0.3926,-0.1303,-24.9164
cov4_minus1SD,1,1,0.2473,0.202,-0.0454,-18.337
cov4_minus1SD,1,2,0.2301,0.2652,0.0351,15.2691
cov4_minus1SD,1,3,0.5226,0.5328,0.0102,1.956
cov4_minus1SD,2,1,0.2135,0.1837,-0.0298,-13.9373
cov4_minus1SD,2,2,0.2335,0.2121,-0.0214,-9.1728
cov4_minus1SD,2,3,0.553,0.6041,0.0512,9.255
cov4_minus1SD,3,1,0.2044,0.2161,0.0117,5.7069
cov4_minus1SD,3,2,0.2727,0.2668,-0.0059,-2.1512
cov4_minus1SD,3,3,0.5229,0.5171,-0.0058,-1.1088
cov4_plus1SD,1,1,0.2473,0.2984,0.0511,20.6408
cov4_plus1SD,1,2,0.2301,0.1967,-0.0334,-14.5314
cov4_plus1SD,1,3,0.5226,0.505,-0.0176,-3.3712
cov4_plus1SD,2,1,0.2135,0.2453,0.0318,14.894
cov4_plus1SD,2,2,0.2335,0.2542,0.0207,8.8671
cov4_plus1SD,2,3,0.553,0.5005,-0.0525,-9.4953
cov4_plus1SD,3,1,0.2044,0.1932,-0.0112,-5.4766
cov4_plus1SD,3,2,0.2727,0.2785,0.0058,2.1144
cov4_plus1SD,3,3,0.5229,0.5283,0.0054,1.038
cov5_minus1SD,1,1,0.2473,0.2477,0.0004,0.1589
cov5_minus1SD,1,2,0.2301,0.2298,-0.0003,-0.1167
cov5_minus1SD,1,3,0.5226,0.5225,-0.0001,-0.0239
cov5_minus1SD,2,1,0.2135,0.2122,-0.0013,-0.6084
cov5_minus1SD,2,2,0.2335,0.233,-0.0005,-0.2139
cov5_minus1SD,2,3,0.553,0.5548,0.0018,0.3252
cov5_minus1SD,3,1,0.2044,0.2036,-0.0008,-0.3705
cov5_minus1SD,3,2,0.2727,0.2737,0.001,0.3654
cov5_minus1SD,3,3,0.5229,0.5227,-0.0002,-0.0458
cov5_plus1SD,1,1,0.2473,0.2469,-0.0004,-0.1588
cov5_plus1SD,1,2,0.2301,0.2304,0.0003,0.1167
cov5_plus1SD,1,3,0.5226,0.5227,0.0001,0.0238
cov5_plus1SD,2,1,0.2135,0.2148,0.0013,0.6106
cov5_plus1SD,2,2,0.2335,0.234,0.0005,0.2129
cov5_plus1SD,2,3,0.553,0.5512,-0.0018,-0.3257
cov5_plus1SD,3,1,0.2044,0.2052,0.0008,0.3712
cov5_plus1SD,3,2,0.2727,0.2717,-0.001,-0.3647
cov5_plus1SD,3,3,0.5229,0.5231,0.0002,0.0451
